name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
Absolute Neutrophil Count,Test,Hematology,Plasma (EDTA / Purple Tube),,"An absolute neutrophil count identifies how many neutrophils are in a sample of your blood. The normal range of neutrophils in a healthy adult is between 2,500 and 7,000 neutrophils per microliter of blood. Any number above 7,000 or below 2,500 puts you at risk of a neutrophil condition.","ایک مطلق نیوٹروفیل شمار اس بات کی نشاندہی کرتا ہے کہ آپ کے خون کے نمونے میں کتنے نیوٹروفیل ہیں۔ ایک صحت مند بالغ میں نیوٹروفیلز کی معمول کی حد 2,500 اور 7,000 نیوٹروفیلز فی مائیکرو لیٹر خون کے درمیان ہوتی ہے۔ 7,000 سے اوپر یا 2,500 سے کم کوئی بھی نمبر آپ کو نیوٹروفیل حالت کے خطرے میں ڈالتا ہے۔"
Absolute Values/Cell Counts,Test,Hematology,Plasma (EDTA / Purple Tube),,"Absolute count refers to the count of various cells present in the blood. Each of these cells has a normal range and is usually present in that range in the body. In certain conditions such as infections, pyrexia, malignancies, etc there increase or decrease in these counts.","مطلق شمار سے مراد خون میں موجود مختلف خلیوں کی گنتی ہے۔ ان خلیوں میں سے ہر ایک کی ایک عام رینج ہوتی ہے اور عام طور پر جسم میں اس حد میں موجود ہوتی ہے۔ بعض حالات جیسے انفیکشنز، پائریکسیا، خرابی وغیرہ میں ان شماروں میں اضافہ یا کمی ہوتی ہے۔"
Acetylcholine Receptor Antibodies (ACRA),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"An acetylcholine receptor (AChR) antibody test is used to help diagnose myasthenia gravis (MG) and to distinguish it from other conditions that may cause similar symptoms, such as chronic muscle fatigue and weakness.","ایک acetylcholine ریسیپٹر (AChR) اینٹی باڈی ٹیسٹ کا استعمال myasthenia gravis (MG) کی تشخیص میں مدد کے لیے کیا جاتا ہے اور اسے دوسری حالتوں سے ممتاز کرنے کے لیے استعمال کیا جاتا ہے جو اس جیسی علامات کا سبب بن سکتی ہیں، جیسے دائمی پٹھوں کی تھکاوٹ اور کمزوری۔"
Acid Phosphate,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"An Acid Phosphatase test is a presumptive test for semen. It may be performed directly on a cut out portion of a stain, an extract of a stain, or a “wipe” of the stained material. A wipe may be made using a piece of filter paper, thread, or swab.","ایسڈ فاسفیٹیز ٹیسٹ منی کے لیے ایک فرضی ٹیسٹ ہے۔ یہ براہ راست داغ کے کٹے ہوئے حصے، داغ کے نچوڑ، یا داغ والے مواد کے ""پوحنے"" پر کیا جا سکتا ہے۔ فلٹر پیپر، دھاگے یا جھاڑو کے ٹکڑے کا استعمال کرتے ہوئے مسح کیا جا سکتا ہے۔"
ACTH (Adrenocorticotropic Hormone),Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,An ACTH test measures the levels of both ACTH and cortisol in the blood and helps your doctor detect diseases that are associated with too much or too little cortisol in the body.,ایک ACTH ٹیسٹ خون میں ACTH اور cortisol دونوں کی سطحوں کی پیمائش کرتا ہے اور آپ کے ڈاکٹر کو ایسی بیماریوں کا پتہ لگانے میں مدد کرتا ہے جو جسم میں بہت زیادہ یا بہت کم کورٹیسول سے وابستہ ہیں۔
AcuteLeukemia Immunophenotyping on Bone Marrow (Flow Cytometry),Test,Chem & Immuno,Others,,Flow cytometric immunophenotyping has proven to be of great utility for sensitive detection of low levels of residual blast cells and their distinction from normal regenerating immature cells in the bone marrow of acute leukemia patients during treatment,فلو سائٹومیٹرک امیونو فینوٹائپنگ بقایا دھماکے کے خلیوں کی کم سطح کی حساسیت کا پتہ لگانے اور علاج کے دوران شدید لیوکیمیا کے مریضوں کے بون میرو میں دوبارہ پیدا ہونے والے ناپختہ خلیوں سے ان کے امتیاز کے لیے بہت مفید ثابت ہوئی ہے۔
AcuteLeukemia Immunophenotyping on Peripheral Blood (Flow Cytometry),Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,"Acute leukemias (AL) are hematological neoplasms featured by altered proliferation and/or differentiation of hematopoietic progenitors, leading to accumulation of immature cells in bone marrow (BM) and peripheral blood (PB). The clinical consequences are thus due to BM failure and infiltration of extra-hematological sites by leukemic cells, possibly causing organ function impairment.","ایکیوٹ لیوکیمیا (AL) ہیماتولوجیکل نیوپلاسمز ہیں جو بدلے ہوئے پھیلاؤ اور/یا ہیماٹوپوئٹک پروجینٹرز کے فرق سے نمایاں ہوتے ہیں، جو بون میرو (BM) اور پیریفرل بلڈ (PB) میں ناپختہ خلیات کے جمع ہونے کا باعث بنتے ہیں۔ اس طرح طبی نتائج BM کی ناکامی اور لیوکیمک خلیوں کے ذریعہ اضافی ہیماتولوجیکل سائٹس کی دراندازی کی وجہ سے ہیں، ممکنہ طور پر اعضاء کے کام میں خرابی کا باعث بنتے ہیں۔"
Adenosine Deaminase (ADA-CSF),Test,Chem & Immuno,CSF,, It is a simple and inexpensive diagnostic adjunctive test in the rapid and early diagnosis of TBM., یہ ٹی بی ایم کی تیز رفتار اور ابتدائی تشخیص میں ایک سادہ اور سستا تشخیصی معاون ٹیسٹ ہے۔
Adenosine Deaminase (ADA-Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Serum ADA activity can be used in the differentiation of non-TB cases from TB cases as a supplementary laboratory test in patients strongly suspected to have negative PTB smear test results.,سیرم ADA کی سرگرمی کو ٹی بی کے کیسز سے غیر ٹی بی کیسز کے فرق میں استعمال کیا جا سکتا ہے ایک ضمنی لیبارٹری ٹیسٹ کے طور پر ان مریضوں میں جن کے PTB سمیر ٹیسٹ کے منفی نتائج کا شدید شبہ ہے۔
Adenosine Deaminase ADA (FLUID),Test,Chem & Immuno,Body Fluid,,The ADA test is used as an adjunct test to help rule in or rule out tuberculosis in pleural fluid. ,ADA ٹیسٹ کو ایک ضمنی ٹیسٹ کے طور پر استعمال کیا جاتا ہے تاکہ فوففس سیال میں تپ دق کو کنٹرول کرنے یا اسے مسترد کرنے میں مدد ملے۔
AFB C/S (Mycobacterium Tuberculosis),Test,Microbiology,Body Fluid,,AFB tests are most often used to diagnose an active tuberculosis (TB) infection. They may also be used to help diagnose other types of AFB infections,AFB ٹیسٹ اکثر فعال تپ دق (ٹی بی) کے انفیکشن کی تشخیص کے لیے استعمال ہوتے ہیں۔ ان کا استعمال دیگر قسم کے AFB انفیکشنز کی تشخیص میں مدد کے لیے بھی کیا جا سکتا ہے۔
AFB Stain ( X 3 SPUTUM),Test,Microbiology,Sputum,,"A sputum stain for Mycobacteria is a laboratory test performed on a sample of your sputum, or phlegm. It’s also known as an acid-fast bacillus (AFB) stain or a tuberculosis (TB) smear.

"," مائکوبیکٹیریا کے لیے تھوک کا داغ ایک لیبارٹری ٹیسٹ ہے جو آپ کے تھوک، یا بلغم کے نمونے پر کیا جاتا ہے۔ اسے ایسڈ فاسٹ بیکیلس (AFB) داغ یا تپ دق (TB) سمیر کے نام سے بھی جانا جاتا ہے۔"
AFB Stain / ZN Stain (Urine Random/Spot),Test,Microbiology,Urine,,The AFB test is used by doctors to determine the presence of mycobacterial infections such as Tuberculosis and Nocardia. Preparation for AFB Stain (Urine) Test.,AFB ٹیسٹ ڈاکٹروں کے ذریعہ مائکوبیکٹیریل انفیکشن جیسے کہ تپ دق اور نوکارڈیا کی موجودگی کا تعین کرنے کے لیے استعمال کیا جاتا ہے۔ اے ایف بی داغ (پیشاب) ٹیسٹ کی تیاری۔
Albumin (24 Hrs Urine),Test,Chem & Immuno,Urine,,A 24-hour urine protein test measures the amount of albumin in your urine over 24 hours.,24 گھنٹے کا پیشاب پروٹین ٹیسٹ 24 گھنٹوں کے دوران آپ کے پیشاب میں البومین کی مقدار کی پیمائش کرتا ہے۔
Albumin (fluid),Test,Chem & Immuno,Body Fluid,,An albumin blood test is used to check your general health and to see how well your liver and kidneys are working.,"آپ کی عمومی صحت کی جانچ کرنے اور یہ دیکھنے کے لیے کہ آپ کے جگر اور گردے کتنی اچھی طرح سے کام کر رہے ہیں، ایک البومین خون کا ٹیسٹ استعمال کیا جاتا ہے۔"
Albumin (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A serum albumin test measures the amount of this protein in the clear liquid portion of the blood.,سیرم البومین ٹیسٹ خون کے صاف مائع حصے میں اس پروٹین کی مقدار کی پیمائش کرتا ہے۔
Albumin (Spot Urine),Test,Chem & Immuno,Urine,, a test to detect very small levels of a blood protein (albumin) in your urine. ,آپ کے پیشاب میں خون کے پروٹین (البومین) کی بہت چھوٹی سطحوں کا پتہ لگانے کے لیے ایک ٹیسٹ۔
Albumin / Creatinine Ratio.,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Albumin-to-creatinine ratio (ACR) is the first method of preference to detect elevated protein. The recommended method to evaluate albuminuria is to measure urinary ACR in a spot urine sample. ACR is calculated by dividing albumin concentration in milligrams by creatinine concentration in grams.
", البومین سے کریٹینائن کا تناسب (ACR) بلند پروٹین کا پتہ لگانے کے لیے ترجیح کا پہلا طریقہ ہے۔ البومینوریا کا اندازہ کرنے کا تجویز کردہ طریقہ پیشاب کے ACR کو جگہ پیشاب کے نمونے میں ماپنا ہے۔ ACR کا حساب گرام میں کریٹینائن کے ارتکاز سے ملیگرام میں البومن ارتکاز کو تقسیم کرکے لگایا جاتا ہے۔
Alcohol Level (Blood),Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,Blood Alcohol Content (BAC) is a measure of alcohol in the blood as a percentage.,خون میں الکحل کا مواد (BAC) فیصد کے طور پر خون میں الکحل کا ایک پیمانہ ہے۔
Aldolase (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,The aldolase test measures the amount of aldolase in your blood. Increased levels of this enzyme may indicate a serious health problem.,ایلڈولیس ٹیسٹ آپ کے خون میں ایلڈولیس کی مقدار کی پیمائش کرتا ہے۔ اس انزائم کی بڑھتی ہوئی سطح صحت کے سنگین مسئلے کی نشاندہی کر سکتی ہے۔
Aldosterone (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Help diagnose primary or secondary aldosteronism, disorders that cause the adrenal glands to make too much ALD","بنیادی یا ثانوی الڈوسٹیرونزم کی تشخیص میں مدد کریں، ایسے امراض جو ایڈرینل غدود کو بہت زیادہ ALD بناتے ہیں۔"
ALK (Q-PCR),Test,Molecular,Others,,ALK is a short name for the anaplastic lymphoma receptor tyrosine kinase gene. This test detects specific rearrangements in the ALK gene in cancer cells and tissue. The presence of these changes makes it more likely that a person with non-small cell lung cancer will respond to a targeted drug therapy.,ALK ایناپلاسٹک لیمفوما ریسیپٹر ٹائروسین کناز جین کا مختصر نام ہے۔ یہ ٹیسٹ کینسر کے خلیات اور بافتوں میں ALK جین میں مخصوص دوبارہ ترتیب کا پتہ لگاتا ہے۔ ان تبدیلیوں کی موجودگی اس بات کا زیادہ امکان بناتی ہے کہ غیر چھوٹے خلیے کے پھیپھڑوں کے کینسر میں مبتلا شخص ٹارگٹڈ ڈرگ تھراپی کا جواب دے گا۔
ALK By FISH,Test,Molecular,Others,,ALK Rearrangement by FISH is designed to detect loss rearrangement (breakapart) of the ALK gene. In lung cancer.,ALK Rearrangement by FISH کو ALK جین کے نقصان کی دوبارہ ترتیب (بریکاپارٹ) کا پتہ لگانے کے لیے ڈیزائن کیا گیا ہے۔ پھیپھڑوں کے کینسر میں۔
Alkaline Phosphatase,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,An alkaline phosphatase (ALP) test measures the amount of ALP in the blood. It is commonly used to diagnose liver damage or bone disorders. , ایک الکلائن فاسفیٹیس (ALP) ٹیسٹ خون میں ALP کی مقدار کی پیمائش کرتا ہے۔ یہ عام طور پر جگر کے نقصان یا ہڈیوں کی خرابی کی تشخیص کے لیے استعمال ہوتا ہے۔
"Alpha 1, Anti Trypsin Level",Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"This test measures the amount of alpha-1 antitrypsin (AAT) in the blood. AAT is a protein that is made in the liver. It helps protect your lungs from damage and diseases, such as emphysema and chronic obstructive pulmonary disease (COPD).","یہ ٹیسٹ خون میں الفا-1 اینٹی ٹریپسن (AAT) کی مقدار کی پیمائش کرتا ہے۔ AAT ایک پروٹین ہے جو جگر میں بنتا ہے۔ یہ آپ کے پھیپھڑوں کو نقصان اور بیماریوں سے بچانے میں مدد کرتا ہے، جیسے واتسفیتی اور دائمی رکاوٹ پلمونری بیماری (COPD)۔"
Alpha Feto Protein (AFP),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"An AFP blood test is used during pregnancy to check the baby's risk of birth defects and genetic disorders, such as neural tube defects or Down syndrome.",حمل کے دوران AFP خون کے ٹیسٹ کا استعمال بچے کے پیدائشی نقائص اور جینیاتی عوارض جیسے کہ نیورل ٹیوب کی خرابی یا ڈاؤن سنڈروم کے خطرے کو جانچنے کے لیے کیا جاتا ہے۔
Ammonia,Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,"It is most commonly used to diagnose and monitor hepatic encephalopathy, a severe liver disease.","یہ عام طور پر جگر کی شدید بیماری، ہیپاٹک انسیفالوپیتھی کی تشخیص اور نگرانی کے لیے استعمال ہوتا ہے۔"
Amphetamines (Urine),Test,Chem & Immuno,Urine,,"If you take amphetamine often, it may show up in your urine for up to a week after using it.","اگر آپ اکثر ایمفیٹامین لیتے ہیں، تو یہ استعمال کرنے کے بعد ایک ہفتے تک آپ کے پیشاب میں ظاہر ہو سکتا ہے۔"
Amylase (24hrs Urine),Test,Chem & Immuno,Urine,,"An amylase test is used to measure levels of amylase in the blood or urine. ... for 24 hours before having an amylase blood or urine test.
", خون یا پیشاب میں امیلیس کی سطح کی پیمائش کرنے کے لیے ایک امیلیز ٹیسٹ استعمال کیا جاتا ہے۔ امائلیز خون یا پیشاب کا ٹیسٹ کروانے سے 24 گھنٹے پہلے۔
Amylase (fluid),Test,Chem & Immuno,Body Fluid,,An amylase test measures the amount of amylase in your blood or urine (pee).,ایک امائلیز ٹیسٹ آپ کے خون یا پیشاب (پیشاب) میں امائلیز کی مقدار کی پیمائش کرتا ہے۔
Amylase (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"An amylase test measures the amount of amylase in your blood or urine (pee). Amylase is an enzyme, or special protein, that helps you digest carbohydrates. Most of the amylase in your body is made by your pancreas and salivary glands. A small amount of amylase in your blood and urine is normal.
"," ایک امائلیز ٹیسٹ آپ کے خون یا پیشاب (پیشاب) میں امائلیز کی مقدار کی پیمائش کرتا ہے۔ Amylase ایک انزائم، یا خاص پروٹین ہے، جو آپ کو کاربوہائیڈریٹس کو ہضم کرنے میں مدد کرتا ہے۔ آپ کے جسم میں زیادہ تر امیلیس آپ کے لبلبے اور تھوک کے غدود سے بنتی ہیں۔ آپ کے خون اور پیشاب میں امائلیز کی تھوڑی مقدار معمول کی بات ہے۔"
Amylase (Spot Urine),Test,Chem & Immuno,Urine,,"This test measures how much of the enzyme amylase is in your urine.

", یہ ٹیسٹ اس بات کی پیمائش کرتا ہے کہ آپ کے پیشاب میں انزائم امائلیز کی کتنی مقدار ہے۔
ANA BY ELISA,Test,Microbiology,Serum (Gel / Yellow Vial),,"The ANA ELISA screen is designed to detect antibodies against dsDNA, histones, SS-A (Ro), SS-B (La), Smith, Smith/RNP, Scl-70, Jo-1, centromeric proteins, and other antigens extracted from the HEp-2 cell nucleus.
"," ANA ELISA اسکرین کو dsDNA، ہسٹونز، SS-A (Ro)، SS-B (La)، Smith، Smith/RNP، Scl-70، Jo-1، سینٹرومیرک پروٹینز، اور دیگر اینٹیجنز کے خلاف اینٹی باڈیز کا پتہ لگانے کے لیے ڈیزائن کیا گیا ہے۔ HEp-2 سیل نیوکلئس۔"
"ANA Group (ANA,AMA,ASMA, APCA)",Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"An ANA test detects antinuclear antibodies (ANA) in your blood. Your immune system normally makes antibodies to help you fight infection. In contrast, antinuclear antibodies often attack your body's own tissues. An ANA test is used to help diagnose autoimmune disorders, such as: Systemic lupus erythematosus (SLE),","ANA ٹیسٹ آپ کے خون میں اینٹی نیوکلیئر اینٹی باڈیز (ANA) کا پتہ لگاتا ہے۔ آپ کا مدافعتی نظام عام طور پر آپ کو انفیکشن سے لڑنے میں مدد کے لیے اینٹی باڈیز بناتا ہے۔ اس کے برعکس، اینٹی نیوکلیئر اینٹی باڈیز اکثر آپ کے جسم کے اپنے ٹشوز پر حملہ کرتی ہیں۔ اے این اے ٹیسٹ کا استعمال خود کار قوت مدافعت کی خرابیوں کی تشخیص میں مدد کے لیے کیا جاتا ہے، جیسے: سیسٹیمیٹک لیوپس ایریٹیمیٹوسس (SLE)،"
ANCA  -  C  (PR-3),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test looks for antineutrophil cytoplasmic antibodies (ANCA) in your blood. Antibodies are proteins that your immune system makes to fight foreign substances like viruses and bacteria. But ANCAs attack healthy cells known as neutrophils (a type of white blood cell) by mistake.,یہ ٹیسٹ آپ کے خون میں اینٹی نیوٹروفیل سائٹوپلاسمک اینٹی باڈیز (ANCA) کو تلاش کرتا ہے۔ اینٹی باڈیز وہ پروٹین ہیں جو آپ کا مدافعتی نظام غیر ملکی مادوں جیسے وائرس اور بیکٹیریا سے لڑنے کے لیے بناتا ہے۔ لیکن ANCAs غلطی سے صحت مند خلیوں پر حملہ کرتے ہیں جنہیں نیوٹروفیلز (ایک قسم کے سفید خون کے خلیے) کہا جاتا ہے۔
ANCA  -  P (MPO),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test looks for antineutrophil cytoplasmic antibodies (ANCA) in your blood. Antibodies are proteins that your immune system makes to fight foreign substances like viruses and bacteria. But ANCAs attack healthy cells known as neutrophils (a type of white blood cell) by mistake.,یہ ٹیسٹ آپ کے خون میں اینٹی نیوٹروفیل سائٹوپلاسمک اینٹی باڈیز (ANCA) کو تلاش کرتا ہے۔ اینٹی باڈیز وہ پروٹین ہیں جو آپ کا مدافعتی نظام غیر ملکی مادوں جیسے وائرس اور بیکٹیریا سے لڑنے کے لیے بناتا ہے۔ لیکن ANCAs غلطی سے صحت مند خلیوں پر حملہ کرتے ہیں جنہیں نیوٹروفیلز (ایک قسم کے سفید خون کے خلیے) کہا جاتا ہے۔
Androgen (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A free androgen index (FAI) is a ratio figured out after a blood test for testosterone. It's used to see if you have abnormal androgen levels.You may need this test if you show signs of abnormal androgen levels, which differ in women and men.","ایک فری اینڈروجن انڈیکس (FAI) ایک تناسب ہے جو ٹیسٹوسٹیرون کے خون کے ٹیسٹ کے بعد معلوم ہوتا ہے۔ اس کا استعمال یہ دیکھنے کے لیے کیا جاتا ہے کہ آیا آپ کے پاس غیر معمولی اینڈروجن کی سطح ہے۔ اگر آپ کو غیر معمولی اینڈروجن کی سطحوں کی علامات ظاہر ہوتی ہیں، جو خواتین اور مردوں میں مختلف ہوتی ہیں تو آپ کو اس ٹیسٹ کی ضرورت پڑ سکتی ہے۔"
Androstenedione Level,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Androstenedione estriol (E3) blood test is used to evaluate the function of the adrenal gland and the ovaries or the testicles as well as the production of hormones related to the development of male sex organs and physical characteristics (androgens).,Androstenedione estriol (E3) خون کے ٹیسٹ کا استعمال ایڈرینل غدود اور بیضہ دانی یا خصیوں کے کام کے ساتھ ساتھ مردانہ جنسی اعضاء اور جسمانی خصوصیات (اینڈروجن) کی نشوونما سے متعلق ہارمونز کی پیداوار کا جائزہ لینے کے لیے کیا جاتا ہے۔
ANF,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Anti Nuclear Factor test is used to detect auto immune diseases where body attacks its own cells. Most commonly it is used to diagnose SLE,اینٹی نیوکلیئر فیکٹر ٹیسٹ کا استعمال خود بخود مدافعتی امراض کا پتہ لگانے کے لیے کیا جاتا ہے جہاں جسم اپنے خلیوں پر حملہ کرتا ہے۔ عام طور پر یہ SLE کی تشخیص کے لیے استعمال ہوتا ہے۔
Angiotensin Converting Enzyme (ACE),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test measures how much angiotensin converting enzyme (ACE) is in your  blood. This enzyme plays an important role in controlling blood pressure. It might be used to diagnose Sarcidosis,یہ ٹیسٹ آپ کے خون میں انجیوٹینسن کنورٹنگ اینزائم (ACE) کی مقدار کی پیمائش کرتا ہے۔ یہ انزائم بلڈ پریشر کو کنٹرول کرنے میں اہم کردار ادا کرتا ہے۔ اسے سرسیڈوسس کی تشخیص کے لیے استعمال کیا جا سکتا ہے۔
Anion Gap (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,anion gap (also known as serum anion gap) is a measurement to check for the acid-base balance of your blood and/or an electrolyte imbalance in your blood,anion gap (سیرم anion gap کے نام سے بھی جانا جاتا ہے) آپ کے خون کے ایسڈ بیس بیلنس اور/یا آپ کے خون میں الیکٹرولائٹ کے عدم توازن کو جانچنے کے لیے ایک پیمائش ہے۔
Anti Aquaporin 4 Ab by Serum (NMO),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies to aquaporin-4 (called NMO-IgG or AQP4-Ab) constitute a sensitive and highly specific serum marker of neuromyelitis optica (NMO) that can facilitate the differential diagnosis of NMO and classic multiple sclerosis.,ایکواپورین-4 کے اینٹی باڈیز (جسے NMO-IgG یا AQP4-Ab کہا جاتا ہے) نیورومائیلائٹس آپٹیکا (NMO) کا ایک حساس اور انتہائی مخصوص سیرم مارکر تشکیل دیتے ہیں جو NMO اور کلاسک ملٹیپل سکلیروسیس کی تفریق تشخیص کو آسان بنا سکتے ہیں۔
